Gameweek,Feature,Gain
20,AST,17307.01
20,HST,15894.62
20,AvgA,6526.1
20,AvgH,5014.36
20,HC,4352.18
20,HS,3287.36
20,AC,3104.63
20,AvgD,2407.32
20,Home_def_save_failure_rate,2258.28
20,AS,2088.77
40,AST,17402.18
40,HST,16105.16
40,AvgA,6600.11
40,AvgH,5045.6
40,HC,4631.18
40,HS,3413.78
40,AC,3346.54
40,AvgD,2496.05
40,Home_def_save_failure_rate,2465.11
40,AS,2300.8
60,AST,17507.68
60,HST,16248.59
60,AvgA,6807.26
60,AvgH,5495.31
60,HC,4836.32
60,HS,3648.08
60,AC,3453.6
60,AvgD,2592.76
60,Home_def_save_failure_rate,2574.59
60,AS,2434.61
80,AST,17666.95
80,HST,16352.67
80,AvgA,6942.82
80,AvgH,5605.97
80,HC,5008.52
80,HS,3721.3
80,AC,3579.92
80,Home_def_save_failure_rate,2854.89
80,AvgD,2693.18
80,Away_def_save_failure_rate,2623.22
100,AST,17976.44
100,HST,16646.68
100,AvgA,7006.2
100,AvgH,5803.35
100,HC,5178.54
100,HS,3780.78
100,AC,3672.76
100,Home_def_save_failure_rate,3274.75
100,Away_def_save_failure_rate,3048.93
100,AS,2862.38
120,AST,18147.19
120,HST,16786.34
120,AvgA,7206.54
120,AvgH,5878.59
120,HC,5368.24
120,HS,3944.0
120,AC,3730.19
120,Home_def_save_failure_rate,3491.75
120,Away_def_save_failure_rate,3465.84
120,Away_def_discipline_fouls,3154.19
140,AST,18485.65
140,HST,16923.18
140,AvgA,7328.81
140,AvgH,5924.82
140,HC,5403.41
140,HS,4106.56
140,AC,3854.9
140,Home_def_save_failure_rate,3826.33
140,Away_def_save_failure_rate,3540.44
140,AvgD,3482.68
160,AST,18710.83
160,HST,17039.44
160,AvgA,7627.04
160,AvgH,6174.34
160,HC,5560.88
160,HS,4225.52
160,Home_def_save_failure_rate,4147.41
160,Away_def_save_failure_rate,4040.6
160,AC,4022.58
160,AvgD,3798.57
180,AST,19024.46
180,HST,17181.39
180,AvgA,7709.25
180,AvgH,6555.22
180,HC,5776.26
180,Home_def_save_failure_rate,4578.23
180,HS,4435.54
180,Away_def_save_failure_rate,4272.27
180,AC,4238.53
180,AvgD,4221.99
200,AST,17280.45
200,HST,15855.92
200,AvgA,6667.41
200,AvgH,4969.18
200,HC,4428.23
200,AC,3242.43
200,HS,3238.48
200,AvgD,2547.69
200,Home_def_save_failure_rate,2152.67
200,Home_att_conversion_rate,2080.09
220,AST,17335.77
220,HST,15899.16
220,AvgA,6680.7
220,AvgH,5052.25
220,HC,4802.36
220,AC,3402.71
220,HS,3345.85
220,AvgD,2588.69
220,Home_att_conversion_rate,2325.77
220,Away_att_shot_accuracy,2187.26
240,AST,17523.03
240,HST,16144.46
240,AvgA,6804.04
240,AvgH,5332.79
240,HC,5043.2
240,HS,3637.77
240,AC,3446.52
240,AvgD,2761.16
240,Home_att_conversion_rate,2582.79
240,Away_att_shot_accuracy,2443.61
20,AST,19524.58
20,HST,17544.37
20,AvgA,7248.64
20,AvgH,6165.13
20,HC,4834.12
20,HS,3808.25
20,AC,3654.77
20,AvgD,3148.83
20,Home_def_save_failure_rate,2850.78
20,AS,2565.58
40,AST,19504.84
40,HST,17595.13
40,AvgA,7262.85
40,AvgH,6172.32
40,HC,4996.98
40,HS,3777.24
40,AC,3684.91
40,AvgD,3202.18
40,Home_def_save_failure_rate,2784.49
40,AS,2586.57
60,AST,19556.62
60,HST,17650.97
60,AvgA,7233.51
60,AvgH,6251.91
60,HC,4896.67
60,HS,3775.63
60,AC,3673.6
60,AvgD,3231.4
60,Home_def_save_failure_rate,2933.05
60,AS,2687.81
80,AST,19633.73
80,HST,17787.46
80,AvgA,7308.33
80,AvgH,6299.51
80,HC,5039.44
80,HS,3952.5
80,AC,3865.96
80,AvgD,3366.89
80,Home_def_save_failure_rate,3046.11
80,AS,2813.43
100,AST,19809.72
100,HST,17928.89
100,AvgA,7457.36
100,AvgH,6387.41
100,HC,5061.49
100,HS,3996.29
100,AC,3985.73
100,AvgD,3394.34
100,Home_def_save_failure_rate,3277.47
100,AS,2919.27
120,AST,19596.8
120,HST,17691.91
120,AvgA,7236.07
120,AvgH,6182.96
120,HC,4842.66
120,HS,3732.05
120,AC,3679.75
120,AvgD,3262.72
120,Home_def_save_failure_rate,3051.09
120,AS,2551.29
140,AST,19594.39
140,HST,17543.42
